Be7_Inj	Be7_Rec	Be7_RMS	pep_Inj	pep_Rec	pep_RMS	Bi210_Inj	Bi210_Rec	Bi210_RMS	K40_Inj	K40_Rec	K40_RMS	Kr85_Inj	Kr85_Rec	Kr85_RMS	U238_Inj	U238_Rec	U238_RMS	Th232_Inj	Th232_Rec	Th232_RMS	Po210_Inj	Po210_Rec	Po210_RMS	CNO_Inj	CNO_Rec	CNO_RMS	C10_2_Inj	C10_2_Rec	C10_2_RMS	He6_2_Inj	He6_2_Rec	He6_2_RMS	C11_Inj	C11_Rec	C11_RMS	C11_2_Inj	C11_2_Rec	C11_2_RMS	Chi2NDF
48.9997	49.2441	0.223494	2.80196	2.82964	0.177923	120.361	120.146	1.14902	22.9112	23.0326	0.0903931	50.0051	49.7808	0.508235	150.477	150.48	0.171778	35.1138	35.1635	0.0848125	122.105	122.093	0.0376237	5.03085	4.81867	1.83949	3.69887	2.73849	3.23597	2.80409	2.95901	0.29658	19.1679	19.1384	0.0421596	593.96	593.894	0.150129	44110.9
48.9939	49.0154	0.229114	2.80349	2.78274	0.196607	120.298	119.414	1.27744	22.9086	22.8008	0.0912507	49.9972	50.0267	0.52826	150.512	150.332	0.17177	35.067	35.0853	0.0853487	122.119	122.107	0.0375265	5.02812	6.6669	2.05607	3.70308	2.03703e-09	2.76021	2.80028	2.85224	0.29106	19.1675	19.1418	0.0438389	593.9	593.892	0.150633	44108.6
49.0082	49.0113	0.222625	2.7982	2.5799	0.177691	120.261	117.839	1.1325	22.8984	22.947	0.0917968	49.9721	49.3696	0.505229	150.477	150.142	0.169866	35.0947	35.0215	0.0854879	122.074	122.054	0.0375492	5.02301	9.32645	1.80997	3.70354	3.86748	3.42894	2.796	2.67144	0.29564	19.1661	19.0899	0.0423294	593.99	594.028	0.149444	44061.8
49.0196	48.9052	0.226682	2.7962	2.59161	0.185875	120.32	119.424	1.20593	22.9041	22.9193	0.0920781	49.979	49.8753	0.516631	150.502	150.389	0.171594	35.0831	35.0359	0.0863059	122.08	122.076	0.037636	5.03255	6.88283	1.95758	3.70601	10.4899	3.3832	2.79611	2.4879	0.298575	19.1619	19.1728	0.0431675	593.947	594.007	0.150919	44153.5
48.9713	49.3176	0.223215	2.80404	2.75513	0.178594	120.36	120.194	1.14774	22.896	22.8137	0.0911532	49.9912	49.2713	0.50789	150.567	150.704	0.171755	35.0982	35.1666	0.0850652	122.077	122.105	0.0375857	5.02326	5.09352	1.83886	3.70422	5.07539	3.41665	2.8015	3.06794	0.296686	19.1451	19.1671	0.0423982	593.989	593.913	0.150065	43993.5
48.9739	49.1111	0.229801	2.79935	2.89164	0.198529	120.291	119.087	1.29309	22.9052	22.9204	0.0914258	49.9931	49.7465	0.53055	150.539	150.684	0.171917	35.083	35.1034	0.0853358	122.054	122.053	0.0375238	5.02253	6.22355	2.08165	3.69886	4.86688	3.35434	2.79665	2.76631	0.296412	19.1514	19.0898	0.0440793	593.973	593.915	0.150905	43985.2
48.9997	49.1281	0.232428	2.79834	2.9023	0.206128	120.327	119.882	1.35046	22.8969	22.9114	0.0915527	50.0143	50.5881	0.539453	150.521	150.375	0.172014	35.0764	35.1118	0.0854555	122.142	122.135	0.0375302	5.01943	5.09358	2.17593	3.70111	0.831182	3.22798	2.79892	2.98242	0.297434	19.1635	19.1371	0.0448054	593.919	593.878	0.15124	43961.1
49.0016	48.8062	0.224149	2.80352	2.90105	0.179565	120.312	120.437	1.15773	22.8959	22.7851	0.0910494	50.0005	50.3856	0.510342	150.515	150.682	0.170658	35.0631	35.1503	0.08492	122.098	122.1	0.0376543	5.03696	4.62723	1.85237	3.70199	3.32785	3.30076	2.8027	2.66801	0.29857	19.1775	19.15	0.0426599	593.974	594.032	0.150442	43933.6
48.9745	48.8823	0.223382	2.79048	2.82398	0.178833	120.278	120.605	1.14741	22.8758	22.8756	0.0905473	49.986	50.2732	0.50729	150.526	150.552	0.171163	35.08	35.1947	0.0848859	122.095	122.08	0.0375937	5.03439	4.42316	1.83321	3.70269	2.20789	3.16588	2.7963	2.46937	0.296105	19.1639	19.1525	0.0422579	594.011	594.054	0.149569	43954.8
48.9904	48.9651	0.228509	2.79796	2.5382	0.194786	120.281	118.753	1.2644	22.9067	23.0332	0.0914564	50.0043	49.5988	0.526102	150.506	150.523	0.171723	35.0963	35.137	0.0853144	122.078	122.094	0.0375247	5.03121	7.09994	2.03433	3.70348	3.30575	3.32501	2.80402	2.88285	0.296554	19.1541	19.115	0.0437509	593.904	593.909	0.150766	44005.8
48.9944	48.8234	0.230804	2.79954	2.88373	0.201676	120.323	120.047	1.31597	22.905	22.9383	0.0914382	49.9723	50.1783	0.534113	150.492	150.302	0.171923	35.0869	34.9964	0.0853964	122.073	122.099	0.0375266	5.02355	5.69855	2.11934	3.69665	0.184072	15.1209	2.80377	2.48901	0.29239	19.1542	19.1713	0.0443267	593.89	594.012	0.150913	44053
48.9932	49.2519	0.233732	2.80219	2.81126	0.209902	120.32	120.476	1.3774	22.8879	22.8475	0.0914002	50.0207	49.6012	0.54391	150.439	150.455	0.172073	35.0662	35.0797	0.0854824	122.094	122.082	0.0375221	5.02424	4.71785	2.22046	3.69956	3.30581e-07	11.4157	2.79842	2.88347	0.291132	19.1641	19.186	0.0450615	593.907	593.873	0.151131	43993.2
48.9704	49.089	0.22067	2.80066	3.12374	0.169735	120.323	122.24	1.06988	22.8939	22.8246	0.0910538	49.9967	51.0319	0.498474	150.501	150.416	0.17127	35.0743	35.0514	0.0850432	122.079	122.025	0.0375193	5.0223	1.99509	1.69878	3.69394	8.21013	3.37295	2.80349	2.63854	0.296148	19.1573	19.1901	0.0415333	593.929	593.983	0.149582	44022.2
49.0081	48.8497	0.222746	2.79448	2.50701	0.179326	120.32	118.78	1.1534	22.8909	22.9122	0.0901855	49.9641	49.213	0.510217	150.494	150.58	0.171125	35.0789	34.9381	0.0846345	122.124	122.155	0.0375925	5.02164	7.82666	1.84877	3.70343	3.2036	3.21308	2.79918	2.56367	0.295084	19.1614	19.1533	0.0420355	593.851	593.902	0.149401	44081.5
49.0155	49.1166	0.241363	2.80164	2.94543	0.230282	120.277	121.081	1.53123	22.8878	22.8735	0.0919094	49.99	50.5016	0.569052	150.481	150.322	0.17259	35.0984	35.1775	0.0857639	122.075	122.069	0.0375223	5.0266	3.52954	2.46975	3.6931	0.188399	13.9465	2.79084	2.59745	0.301106	19.1608	19.1677	0.0471759	594.069	594.164	0.152461	44071.1
49.0205	49.4661	0.22475	2.80099	2.90917	0.17922	120.243	119.597	1.15459	22.8975	22.9971	0.0912822	50.01	49.3972	0.510316	150.496	150.644	0.171829	35.098	35.1006	0.085273	122.146	122.193	0.0376564	5.03151	4.92027	1.84839	3.70208	9.0601	3.37594	2.80443	3.05331	0.297224	19.1624	19.1371	0.0426321	593.988	593.854	0.150627	44047.1
49.0128	49.0342	0.224458	2.79655	2.75734	0.180986	120.31	119.324	1.17535	22.9087	22.8351	0.0912978	49.9981	49.4337	0.511827	150.492	150.414	0.171253	35.1144	35.0849	0.0850604	122.067	122.088	0.037637	5.02386	6.87332	1.88288	3.70248	8.18909	3.32248	2.80349	2.83019	0.296401	19.1548	19.1508	0.0429851	594.014	593.955	0.150615	43996.8
